Scientific,BLFamilyLatin,BLFamilyEnglish,English,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.5Cat,ForStrat.watbelowsurf,ForStrat.wataroundsurf,ForStrat.ground,ForStrat.understory,ForStrat.midhigh,ForStrat.canopy,ForStrat.aerial,PelagicSpecialist,Nocturnal,BodyMass.Value,CU_c_spMin,CU_c_spMean,CU_c_spSD,CU_c_spMax,redList,SiTDB_trade,ED,genus,species,nsong,rangeExtent,resid.songQuality,distr_country,distr_region,distr_continent,SiTDB_trade_as_threat,logBodyMass,logRangeExtent,logAbundance,trade.binary,ForStrat.Category,Diet.FruiNect,Diet.Invertebrate,Diet.Omnivore,Diet.PlantSeed,Diet.VertFishScav,watbelowsurf,wataroundsurf,ground,understory,midhigh,canopy,aerial,popRange,popLow,popHigh
Troglodytes aedon,Troglodytidae,Wrens,House Wren,0.8,0,0,0,0,0,0,0,0,0.2,Invertebrate,0,0,0,1,0,0,0,0,0,10.85,13.68558016,17.14076698,2.032225753,19.2010013,LC,evidence,5.544384254,Troglodytes,aedon,1686,NA,NA,"AR,BO,BR,BZ,CA,CL,CO,CR,DM,EC,GD,GF,GP,GT,GY,HN,LC,MQ,MX,NI,PA,PE,PY,SR,SV,TT,US,UY,VC,VE","Latin America & Caribbean,North America",Americas,NA,1.035429738,NA,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Troglodytes cobbi,Troglodytidae,Wrens,Cobb's Wren,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0.5,0.5,0,0,0,0,0,19.1,23.12397963,24.87367631,2.355455887,29.51380064,LC,NA,7.671142959,Troglodytes,cobbi,6,29200,-0.307720781,FK,Latin America & Caribbean,Americas,NA,1.281033367,4.465382851,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12000,12000,12000
Troglodytes monticola,Troglodytidae,Wrens,Santa Marta Wren,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0.33,0.33,0.33,0,0,0,0,10.09,24.50400955,29.37404917,4.794109789,36.28100533,CR,NA,6.51682421,Troglodytes,monticola,12,NA,NA,CO,Latin America & Caribbean,Americas,NA,1.003891166,NA,NA,Not trade-threatened,Mixed strategies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50-249,50,249
Troglodytes ochraceus,Troglodytidae,Wrens,Ochraceous Wren,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0.5,0.5,0,0,0,0,9.4,22.71072588,29.45516936,3.664192301,32.29666099,LC,NA,4.204422861,Troglodytes,ochraceus,34,NA,0.128177927,"CR,PA",Latin America & Caribbean,Americas,NA,0.973127854,NA,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"50,000-499,999",50000,499999
Troglodytes rufociliatus,Troglodytidae,Wrens,Rufous-browed Wren,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0.5,0.5,0,0,0,0,10,24.68293955,30.45579298,5.86559026,39.45443038,LC,NA,5.706887616,Troglodytes,rufociliatus,67,252000,0.380759478,"GT,HN,MX,NI,SV",Latin America & Caribbean,Americas,NA,1,5.401400541,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Troglodytes rufulus,Troglodytidae,Wrens,Tepui Wren,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0.5,0.5,0,0,0,0,0,16.08,15.96098413,19.55400129,3.248229632,24.5158096,LC,NA,4.204422861,Troglodytes,rufulus,17,302000,-0.221581006,"BR,GY,VE",Latin America & Caribbean,Americas,NA,1.206286044,5.480006943,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Troglodytes sissonii,Troglodytidae,Wrens,Socorro Wren,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0.5,0.5,0,0,0,0,0,7.8,NA,NA,NA,NA,NT,NA,5.544384254,Troglodytes,sissonii,2,NA,NA,MX,Latin America & Caribbean,Americas,NA,0.892094603,NA,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"20,000-49,999",20000,49999
Troglodytes solstitialis,Troglodytidae,Wrens,Mountain Wren,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,1,0,0,0,0,0,11.4,28.52011163,31.36844125,2.702118349,34.66648355,LC,NA,7.632063246,Troglodytes,solstitialis,198,4010000,0.463309591,"AR,BO,CO,EC,PE,VE",Latin America & Caribbean,Americas,NA,1.056904851,6.603144373,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Troglodytes tanneri,Troglodytidae,Wrens,Clarion Wren,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0.3,0.4,0.3,0,0,0,0,10.09,NA,NA,NA,NA,VU,NA,11.07466264,Troglodytes,tanneri,2,NA,NA,MX,Latin America & Caribbean,Americas,NA,1.003891166,NA,NA,Not trade-threatened,Mixed strategies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,340-400,340,400
Troglodytes troglodytes,Troglodytidae,Wrens,Winter Wren,0.6,0,0.1,0.1,0,0,0.1,0,0.1,0,Invertebrate,0,0,0.5,0.5,0,0,0,0,0,9.74,14.5824327,20.2866816,5.896412101,30.44512445,LC,evidence,7.671142959,Troglodytes,troglodytes,3660,NA,NA,"AD,AF,AL,AM,AT,AZ,BA,BE,BG,BM,BT,BY,CH,CN,CY,CZ,DE,DK,DZ,EE,EG,ES,FI,FO,FR,GB,GE,GI,GR,HR,HU,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KG,KP,KR,KW,KZ,LB,LI,LT,LU,LV,LY,MA,MD,ME,MK,MM,MN,MT,NL,NO,NP,PK,PL,PM,PS,PT,RO,RS,RU,SE,SI,SK,SY,TJ,TM,TN,TR,TW,UA,UZ","Europe & Central Asia,South Asia,North America,East Asia & Pacific,Middle East & North Africa","Europe,Asia,Americas,Africa",NA,0.988558957,NA,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"10,000,000-500,000,000",1e+07,5e+08
Turdinus atrigularis,Timaliidae,Babblers and parrotbills,Black-throated Wren-babbler,0.8,0,0,0,0,0,0,0,0,0.2,Invertebrate,0,0,0.6,0.2,0.2,0,0,0,0,37,12.92758556,23.08237962,9.637579469,35.24438438,NT,NA,5.851501433,Turdinus,atrigularis,67,NA,NA,"BN,ID,MY",East Asia & Pacific,Asia,NA,1.568201724,NA,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Turdinus macrodactylus,Timaliidae,Babblers and parrotbills,Large Wren-babbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0.5,0.5,0,0,0,0,0,48.7,10.68571722,17.58466992,7.159432032,31.04433924,NT,evidence,6.157103372,Turdinus,macrodactylus,67,NA,NA,"ID,MY,SG,TH",East Asia & Pacific,Asia,plausible,1.687528961,NA,NA,Trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Turdinus rufipectus,Timaliidae,Babblers and parrotbills,Rusty-breasted Wren-babbler,0.8,0,0,0,0,0,0.2,0,0,0,Invertebrate,0,0,1,0,0,0,0,0,0,37,10.79770018,20.95288039,11.89786901,39.76074612,LC,possible,6.157103372,Turdinus,rufipectus,67,NA,NA,ID,East Asia & Pacific,Asia,NA,1.568201724,NA,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Turdoides affinis,Timaliidae,Babblers and parrotbills,Yellow-billed Babbler,0.5,0,0,0,0,0.1,0.2,0.1,0,0.1,Omnivore,0,0,1,0,0,0,0,0,0,63.28,28.89814866,33.26524559,4.183921967,40.23058596,LC,NA,6.763172931,Turdoides,affinis,67,NA,NA,"IN,LK",South Asia,Asia,NA,1.80126647,NA,NA,Not trade-threatened,ForStrat.ground,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Turdoides bicolor,Timaliidae,Babblers and parrotbills,Southern Pied-babbler,0.7,0,0.3,0,0,0,0,0,0,0,Invertebrate,0,0,0.8,0.2,0,0,0,0,0,78.3,9.971811893,61.5041532,51.94309391,133.0030314,LC,NA,1.88735859,Turdoides,bicolor,8,1620000,-0.252099657,"BW,NA,ZA,ZW",Sub-Saharan Africa,Africa,NA,1.893761762,6.209515015,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Turdoides gymnogenys,Timaliidae,Babblers and parrotbills,Bare-cheeked Babbler,0.8,0,0,0,0,0,0,0,0,0.2,Invertebrate,0,0,1,0,0,0,0,0,0,77,11.73262485,36.95673089,40.81539115,118.7674744,LC,NA,8.19692966,Turdoides,gymnogenys,4,580000,-0.364907903,"AO,NA",Sub-Saharan Africa,Africa,NA,1.886490725,5.763427994,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Turdoides hartlaubii,Timaliidae,Babblers and parrotbills,Angola Babbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,1,0,0,0,0,0,0,86.2,14.07724564,24.49129526,9.155098415,37.82424755,LC,NA,4.805136031,Turdoides,hartlaubii,28,NA,NA,"AO,BI,BW,CD,NA,RW,TZ,ZM,ZW",Sub-Saharan Africa,Africa,NA,1.935507266,NA,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Turdoides hindei,Timaliidae,Babblers and parrotbills,Hinde's Pied-babbler,0.4,0,0,0,0,0,0.3,0,0.3,0,Omnivore,0,0,1,0,0,0,0,0,0,67.6,14.08615612,22.96347777,8.607219703,36.13727894,VU,NA,3.343403939,Turdoides,hindei,7,NA,NA,KE,Sub-Saharan Africa,Africa,NA,1.829946696,NA,NA,Not trade-threatened,ForStrat.ground,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"1,250-4,500",1250,4500
